buyer_id,signup_date,country
B00001,2023-10-22,US
B00002,2023-03-02,GB
B00003,2018-07-20,AU
B00004,2023-03-06,US
B00005,2020-03-08,US
B00006,2025-01-18,US
B00007,2019-09-08,US
B00008,2023-04-28,US
B00009,2024-07-15,US
B00010,2025-03-14,CA
B00011,2019-04-01,CA
B00012,2024-08-14,GB
B00013,2019-10-15,US
B00014,2019-12-17,US
B00015,2022-03-10,US
B00016,2023-03-30,US
B00017,2025-03-10,CA
B00018,2019-05-09,CA
B00019,2018-12-30,US
B00020,2026-05-24,US
B00021,2022-09-04,US
B00022,2018-09-25,US
B00023,2018-12-23,US
B00024,2024-08-06,US
B00025,2018-10-20,CA
B00026,2024-10-26,CA
B00027,2021-06-16,DE
B00028,2020-06-06,AU
B00029,2022-08-17,US
B00030,2022-02-03,US
B00031,2024-03-19,US
B00032,2024-06-03,US
B00033,2024-08-26,US
B00034,2024-06-16,US
B00035,2018-12-27,US
B00036,2022-12-10,CA
B00037,2024-11-26,CA
B00038,2023-01-19,US
B00039,2023-01-17,US
B00040,2018-09-24,DE
B00041,2020-07-22,US
B00042,2024-10-10,US
B00043,2022-06-01,US
B00044,2021-11-24,US
B00045,2020-11-16,US
B00046,2020-08-25,US
B00047,2021-09-28,DE
B00048,2026-06-18,US
B00049,2026-05-28,DE
B00050,2018-06-24,US
B00051,2023-02-09,GB
B00052,2018-07-28,US
B00053,2022-01-26,GB
B00054,2020-03-21,US
B00055,2020-04-27,US
B00056,2024-07-06,AU
B00057,2019-06-28,US
B00058,2025-04-18,GB
B00059,2021-02-14,US
B00060,2020-12-05,US
B00061,2021-07-21,US
B00062,2019-02-22,US
B00063,2019-10-09,US
B00064,2019-05-15,US
B00065,2019-09-08,US
B00066,2025-07-22,US
B00067,2022-04-02,US
B00068,2026-03-11,US
B00069,2020-02-16,US
B00070,2020-08-09,US
B00071,2024-12-19,DE
B00072,2025-05-01,US
B00073,2025-08-10,US
B00074,2026-02-09,US
B00075,2020-01-25,US
B00076,2025-01-02,US
B00077,2025-07-12,US
B00078,2024-07-09,US
B00079,2024-06-02,CA
B00080,2018-06-10,US
B00081,2023-08-04,US
B00082,2019-12-22,US
B00083,2022-09-25,US
B00084,2021-09-16,US
B00085,2026-03-01,US
B00086,2020-09-29,US
B00087,2024-04-20,US
B00088,2022-06-19,US
B00089,2024-06-30,US
B00090,2021-01-20,US
B00091,2020-01-18,US
B00092,2024-09-10,US
B00093,2022-05-26,US
B00094,2018-09-07,US
B00095,2026-05-05,US
B00096,2021-10-03,AU
B00097,2021-01-14,US
B00098,2022-05-31,US
B00099,2023-07-24,US
B00100,2022-07-27,US
B00101,2025-08-01,US
B00102,2026-05-30,US
B00103,2018-11-15,US
B00104,2025-04-20,US
B00105,2025-12-09,GB
B00106,2018-09-03,US
B00107,2025-12-24,US
B00108,2020-02-02,US
B00109,2024-05-13,US
B00110,2022-03-26,US
B00111,2025-01-28,US
B00112,2021-08-18,US
B00113,2019-08-08,US
B00114,2025-07-24,US
B00115,2021-07-11,US
B00116,2025-02-04,US
B00117,2020-06-14,US
B00118,2024-04-19,AU
B00119,2021-03-04,US
B00120,2025-07-14,US
B00121,2021-05-12,US
B00122,2018-10-26,US
B00123,2024-02-08,DE
B00124,2019-05-22,US
B00125,2024-01-02,US
B00126,2019-07-05,US
B00127,2023-05-05,US
