seller_id,is_structuring,seller_group
S00001,0,normal
S00002,0,normal
S00003,0,decoy_seasonal
S00004,0,normal
S00005,0,normal
S00006,0,normal
S00007,0,normal
S00008,0,normal
S00009,0,normal
S00010,0,normal
S00011,0,normal
S00012,0,normal
S00013,0,normal
S00014,1,hard
S00015,0,normal
S00016,0,normal
S00017,0,normal
S00018,0,normal
S00019,0,normal
S00020,0,normal
S00021,0,normal
S00022,0,normal
S00023,1,medium
S00024,0,normal
S00025,0,normal
S00026,0,normal
S00027,0,normal
S00028,0,normal
S00029,0,normal
S00030,0,normal
S00031,0,normal
S00032,0,decoy_highvalue
S00033,0,decoy_seasonal
S00034,0,normal
S00035,0,normal
S00036,0,normal
S00037,0,normal
S00038,0,normal
S00039,0,normal
S00040,0,normal
S00041,0,normal
S00042,0,normal
S00043,0,normal
S00044,0,normal
S00045,0,normal
S00046,0,normal
S00047,0,normal
S00048,0,normal
S00049,0,normal
S00050,0,normal
S00051,0,normal
S00052,0,decoy_highvalue
S00053,0,normal
S00054,0,normal
S00055,0,normal
S00056,0,normal
S00057,0,normal
S00058,0,normal
S00059,0,normal
S00060,0,normal
S00061,0,decoy_business
S00062,0,normal
S00063,0,normal
S00064,0,normal
S00065,0,normal
S00066,0,normal
S00067,0,normal
S00068,0,normal
S00069,0,normal
S00070,1,medium
S00071,0,normal
S00072,0,normal
S00073,0,normal
S00074,0,normal
S00075,0,normal
S00076,0,normal
S00077,0,decoy_seasonal
S00078,0,decoy_highvalue
S00079,0,normal
S00080,0,normal
S00081,0,decoy_business
S00082,0,normal
S00083,0,normal
S00084,0,normal
S00085,0,normal
S00086,0,decoy_seasonal
S00087,0,normal
S00088,0,normal
S00089,0,normal
S00090,0,normal
S00091,0,normal
S00092,0,normal
S00093,0,normal
S00094,0,normal
S00095,0,normal
S00096,0,normal
S00097,0,normal
S00098,0,normal
S00099,1,hard
S00100,0,normal
S00101,0,normal
S00102,0,normal
S00103,0,normal
S00104,0,normal
S00105,0,normal
S00106,0,decoy_highvalue
S00107,0,normal
S00108,0,normal
S00109,0,normal
S00110,0,normal
S00111,0,normal
S00112,0,normal
S00113,0,normal
S00114,0,normal
S00115,0,normal
S00116,0,normal
S00117,1,hard
S00118,0,normal
S00119,0,normal
S00120,0,decoy_seasonal
S00121,0,decoy_seasonal
S00122,1,hard
S00123,0,normal
S00124,0,normal
S00125,0,normal
S00126,0,normal
S00127,0,normal
S00128,0,normal
S00129,0,normal
S00130,0,normal
S00131,0,normal
S00132,0,normal
S00133,0,normal
S00134,0,normal
S00135,0,normal
S00136,0,normal
S00137,0,normal
S00138,0,normal
S00139,0,normal
S00140,0,normal
S00141,0,normal
S00142,0,normal
S00143,0,normal
S00144,0,normal
S00145,0,normal
S00146,0,normal
S00147,0,normal
S00148,0,normal
S00149,0,normal
S00150,0,normal
S00151,0,normal
S00152,0,normal
S00153,1,medium
S00154,0,normal
S00155,0,normal
S00156,0,normal
S00157,0,normal
S00158,0,normal
S00159,0,normal
S00160,0,decoy_highvalue
S00161,0,normal
S00162,0,normal
S00163,0,normal
S00164,0,normal
S00165,0,normal
S00166,0,normal
S00167,0,normal
S00168,0,normal
S00169,0,normal
S00170,0,normal
S00171,0,normal
S00172,0,normal
S00173,0,decoy_business
S00174,0,decoy_highvalue
S00175,0,normal
S00176,0,normal
S00177,0,normal
S00178,0,decoy_seasonal
S00179,0,normal
S00180,0,normal
S00181,0,normal
S00182,0,normal
S00183,0,normal
S00184,0,normal
S00185,0,normal
S00186,0,normal
S00187,0,normal
S00188,0,normal
S00189,0,normal
S00190,0,normal
S00191,0,normal
S00192,0,decoy_business
S00193,0,normal
S00194,0,normal
S00195,0,normal
S00196,0,normal
S00197,0,normal
S00198,0,normal
S00199,0,normal
S00200,0,normal
S00201,0,normal
S00202,0,normal
S00203,0,normal
S00204,0,normal
S00205,0,normal
S00206,0,normal
S00207,0,decoy_seasonal
S00208,0,normal
S00209,0,decoy_business
S00210,0,normal
S00211,0,normal
S00212,0,normal
S00213,0,normal
S00214,0,normal
S00215,0,normal
S00216,0,normal
S00217,0,normal
S00218,0,normal
S00219,0,normal
S00220,0,normal
S00221,0,normal
S00222,0,normal
S00223,0,normal
S00224,0,normal
S00225,0,normal
S00226,0,normal
S00227,0,normal
S00228,0,normal
S00229,0,decoy_seasonal
S00230,0,normal
S00231,0,normal
S00232,0,normal
S00233,0,normal
S00234,0,normal
S00235,0,normal
S00236,0,normal
S00237,0,normal
S00238,0,normal
S00239,0,decoy_highvalue
S00240,0,normal
S00241,0,normal
S00242,0,normal
S00243,0,normal
S00244,0,normal
S00245,0,decoy_seasonal
S00246,0,normal
S00247,0,decoy_seasonal
S00248,0,normal
S00249,0,normal
S00250,0,normal
S00251,0,normal
S00252,0,normal
S00253,0,normal
S00254,0,normal
S00255,0,normal
S00256,0,normal
S00257,0,normal
S00258,0,normal
S00259,0,normal
S00260,0,normal
S00261,0,normal
S00262,0,normal
S00263,0,normal
S00264,0,normal
S00265,0,normal
S00266,0,normal
S00267,0,normal
S00268,0,normal
S00269,0,normal
S00270,0,normal
S00271,0,normal
S00272,1,easy
S00273,1,hard
S00274,0,normal
S00275,0,normal
S00276,0,normal
S00277,0,normal
S00278,0,normal
S00279,0,normal
S00280,0,normal
S00281,0,normal
S00282,0,normal
S00283,0,normal
S00284,0,normal
S00285,0,normal
S00286,0,normal
S00287,0,normal
S00288,0,normal
S00289,0,normal
S00290,0,normal
S00291,0,normal
S00292,0,normal
S00293,0,normal
S00294,0,normal
S00295,0,normal
S00296,0,normal
S00297,0,normal
S00298,0,normal
S00299,0,normal
S00300,0,normal
S00301,0,normal
S00302,0,normal
S00303,0,normal
