order_id,seller_id,buyer_id,order_ts,category,item_price,shipping_fee,payment_method,buyer_country,order_status
O000001,S01043,B11751,2026-05-29 09:26:14,fashion_vintage,226.21,7.78,wallet,US,completed
O000002,S01043,B10528,2026-05-30 09:22:14,fashion_vintage,2861.76,37.48,card,US,completed
O000003,S01043,B07209,2026-05-30 18:06:30,fashion_vintage,2050.67,26.46,wallet,US,completed
O000004,S00122,B02358,2026-05-30 18:15:35,electronics,1369.93,24.89,wallet,US,completed
O000005,S00122,B02262,2026-05-30 19:39:13,electronics,1541.36,22.87,wallet,US,completed
O000006,S00674,B08565,2026-05-30 22:56:46,watches_jewelry_luxury,921.12,16.25,card,US,completed
O000007,S00465,B13724,2026-05-31 10:24:35,fashion_vintage,2029.98,26.18,card,US,completed
O000008,S00674,B08597,2026-05-31 13:00:24,watches_jewelry_luxury,2950.79,35.89,wallet,US,completed
O000009,S01407,B05113,2026-05-31 17:07:46,watches_jewelry_luxury,2343.85,27.48,card,US,completed
O000010,S00117,B00217,2026-05-31 19:42:37,electronics,1400.31,18.16,wallet,US,completed
O000011,S01657,B12935,2026-06-01 00:00:40,fashion_vintage,15.3,5.68,card,US,completed
O000012,S01986,B06402,2026-06-01 00:06:52,sneakers_streetwear,320.23,13.34,card,US,completed
O000013,S00992,B14232,2026-06-01 00:16:32,fashion_vintage,39.07,8.85,card,US,refunded
O000014,S01997,B06380,2026-06-01 00:17:37,fashion_vintage,64.61,8.71,wallet,US,completed
O000015,S01348,B08621,2026-06-01 00:31:33,fashion_vintage,18.3,8.2,card,US,completed
O000016,S00301,B10362,2026-06-01 00:42:42,fashion_vintage,26.22,4.38,wallet,US,completed
O000017,S01876,B02827,2026-06-01 01:05:18,fashion_vintage,29.83,10.34,card,US,completed
O000018,S00465,B03686,2026-06-01 01:06:03,fashion_vintage,2045.76,31.02,wallet,US,completed
O000019,S00790,B09366,2026-06-01 01:18:56,fashion_vintage,84.24,8.22,card,US,completed
O000020,S00301,B06669,2026-06-01 01:20:26,fashion_vintage,19.32,4.89,wallet,US,completed
O000021,S00583,B02677,2026-06-01 01:25:16,fashion_vintage,39.29,6.65,card,US,completed
O000022,S01294,B00750,2026-06-01 01:34:49,fashion_vintage,15.72,9.93,wallet,US,completed
O000023,S01400,B13048,2026-06-01 02:08:01,fashion_vintage,66.47,5.18,bank,US,completed
O000024,S00958,B04240,2026-06-01 02:26:43,electronics,154.61,6.43,card,US,completed
O000025,S00079,B14712,2026-06-01 02:32:41,fashion_vintage,30.48,11.82,card,US,completed
O000026,S00635,B14620,2026-06-01 02:37:24,fashion_vintage,49.22,4.56,card,US,completed
O000027,S01761,B10243,2026-06-01 02:48:36,fashion_vintage,18.3,11.42,card,US,refunded
O000028,S00045,B08879,2026-06-01 03:03:10,sneakers_streetwear,92.46,12.38,card,US,completed
O000029,S01320,B03603,2026-06-01 03:03:43,fashion_vintage,83.29,10.69,card,US,completed
O000030,S01987,B06184,2026-06-01 03:05:30,fashion_vintage,45.82,5.18,card,DE,completed
