payout_id,seller_id,payout_ts,amount,payout_type,bank_account_id,payout_status
P000001,S01109,2026-06-03 12:11:21,7852.77,on_demand,BA00046,paid
P000002,S01043,2026-06-03 19:47:20,4522.0,on_demand,BA00085,paid
P000003,S01942,2026-06-04 00:49:48,9235.67,on_demand,BA00034,paid
P000004,S00596,2026-06-04 05:57:38,237.64,on_demand,BA00313,paid
P000005,S01004,2026-06-04 06:30:21,426.37,on_demand,BA02280,paid
P000006,S01994,2026-06-04 06:31:20,2360.58,on_demand,BA00964,paid
P000007,S00122,2026-06-04 09:31:16,5770.21,on_demand,BA00097,paid
P000008,S00567,2026-06-04 10:39:17,1268.64,on_demand,BA01870,paid
P000009,S00838,2026-06-04 11:06:00,2326.45,on_demand,BA01365,paid
P000010,S01064,2026-06-04 12:38:56,23.49,on_demand,BA00988,paid
P000011,S01607,2026-06-04 13:16:00,225.9,on_demand,BA02235,paid
P000012,S01757,2026-06-04 13:49:58,1604.96,on_demand,BA00116,paid
P000013,S01407,2026-06-04 14:17:57,4026.13,on_demand,BA00103,paid
P000014,S01124,2026-06-04 14:40:08,11266.6,on_demand,BA00147,paid
P000015,S01579,2026-06-04 16:46:47,355.75,on_demand,BA01386,paid
P000016,S01583,2026-06-04 18:33:10,440.91,on_demand,BA00447,paid
P000017,S00524,2026-06-04 18:56:29,96.94,on_demand,BA00544,paid
P000018,S00674,2026-06-04 19:02:04,4675.96,on_demand,BA00060,paid
P000019,S01363,2026-06-04 20:27:09,11376.1,on_demand,BA00118,paid
P000020,S01913,2026-06-04 20:31:45,7104.3,on_demand,BA00071,paid
P000021,S01485,2026-06-04 20:44:47,784.01,on_demand,BA01547,paid
P000022,S01477,2026-06-04 21:40:51,414.83,on_demand,BA01520,paid
P000023,S00386,2026-06-04 22:26:23,16.61,on_demand,BA00718,paid
P000024,S01396,2026-06-04 22:47:37,1277.92,on_demand,BA01245,paid
P000025,S00712,2026-06-05 06:28:57,218.06,on_demand,BA01145,paid
P000026,S00465,2026-06-05 07:24:51,6021.18,on_demand,BA00099,paid
P000027,S01236,2026-06-05 07:53:37,89.96,on_demand,BA00706,paid
P000028,S01702,2026-06-05 08:21:43,846.74,on_demand,BA01632,paid
P000029,S00843,2026-06-05 09:46:17,2868.57,on_demand,BA00146,paid
P000029,S00843,2026-06-05 09:46:17,2868.57,on_demand,BA00146,paid
P000030,S01267,2026-06-05 09:58:16,64.31,on_demand,BA00720,paid
P000031,S01377,2026-06-05 11:02:25,232.13,on_demand,BA01762,paid
P000032,S01646,2026-06-05 11:55:34,98.6,on_demand,BA02002,paid
P000033,S00723,2026-06-05 13:41:00,1017.64,on_demand,BA02146,paid
P000034,S01074,2026-06-05 14:07:07,509.09,on_demand,BA01839,paid
P000035,S00935,2026-06-05 14:12:45,8639.66,on_demand,BA00140,paid
P000036,S00145,2026-06-05 14:41:45,208.26,on_demand,BA01374,paid
P000037,S00007,2026-06-05 16:06:10,75.97,on_demand,BA00747,paid
P000038,S01434,2026-06-05 16:32:34,92.65,on_demand,BA02202,paid
P000039,S01759,2026-06-05 16:35:39,6493.32,on_demand,BA00050,paid
P000040,S00049,2026-06-05 17:42:55,329.49,on_demand,BA01787,paid
P000041,S00639,2026-06-05 18:12:39,79.15,on_demand,BA00556,paid
P000042,S00100,2026-06-05 18:26:04,30.56,on_demand,BA01689,paid
P000043,S00627,2026-06-05 18:26:57,23.17,on_demand,BA02165,paid
P000044,S01522,2026-06-05 18:59:32,505.64,on_demand,BA01394,paid
P000045,S01429,2026-06-05 19:31:53,125.52,on_demand,BA00301,paid
P000046,S01794,2026-06-05 20:13:01,151.76,on_demand,BA02267,failed
P000047,S00972,2026-06-05 20:16:08,52.03,on_demand,BA00353,paid
P000048,S01047,2026-06-05 20:39:18,3764.05,on_demand,BA00120,paid
