seller_id,split
S00001,test
S00002,test
S00003,dev
S00004,dev
S00005,test
S00006,test
S00007,dev
S00008,test
S00009,test
S00010,test
S00011,test
S00012,test
S00013,dev
S00014,dev
S00015,test
S00016,test
S00017,test
S00018,test
S00019,test
S00020,dev
S00021,test
S00022,dev
S00023,test
S00024,test
S00025,test
S00026,dev
S00027,dev
S00028,dev
S00029,dev
S00030,dev
S00031,dev
S00032,dev
S00033,test
S00034,dev
S00035,test
S00036,dev
S00037,dev
S00038,test
S00039,dev
S00040,dev
S00041,test
S00042,test
S00043,test
S00044,test
S00045,test
S00046,test
S00047,test
S00048,dev
S00049,test
S00050,dev
S00051,test
S00052,dev
S00053,test
S00054,test
S00055,dev
S00056,test
S00057,dev
S00058,test
S00059,dev
S00060,dev
S00061,test
S00062,test
S00063,dev
S00064,dev
S00065,test
S00066,dev
S00067,test
S00068,dev
S00069,test
S00070,dev
S00071,test
S00072,test
S00073,dev
S00074,test
S00075,dev
S00076,dev
S00077,dev
S00078,dev
S00079,dev
S00080,test
S00081,dev
S00082,test
S00083,test
S00084,dev
S00085,dev
S00086,dev
S00087,dev
S00088,test
S00089,test
S00090,test
S00091,test
S00092,test
S00093,test
S00094,test
S00095,test
S00096,test
S00097,test
S00098,dev
S00099,dev
S00100,dev
S00101,test
S00102,test
S00103,dev
S00104,dev
S00105,test
S00106,test
S00107,test
S00108,dev
S00109,test
S00110,dev
S00111,dev
S00112,dev
S00113,dev
S00114,dev
S00115,test
S00116,test
S00117,test
S00118,dev
S00119,test
S00120,test
S00121,test
S00122,test
S00123,dev
S00124,test
S00125,dev
S00126,test
S00127,dev
S00128,test
S00129,dev
S00130,test
S00131,test
S00132,test
S00133,test
S00134,dev
S00135,dev
S00136,dev
S00137,test
S00138,dev
S00139,dev
S00140,test
S00141,test
S00142,test
S00143,dev
S00144,dev
S00145,dev
S00146,dev
S00147,test
S00148,dev
S00149,dev
S00150,test
S00151,dev
S00152,test
S00153,dev
S00154,dev
S00155,dev
S00156,test
S00157,test
S00158,dev
S00159,dev
S00160,test
S00161,test
S00162,dev
S00163,test
S00164,test
S00165,test
S00166,dev
S00167,test
S00168,dev
S00169,dev
S00170,dev
S00171,test
S00172,test
S00173,dev
S00174,dev
S00175,dev
S00176,dev
S00177,dev
S00178,test
S00179,test
S00180,test
S00181,test
S00182,dev
S00183,test
S00184,test
S00185,dev
S00186,dev
S00187,test
S00188,dev
S00189,dev
S00190,dev
S00191,test
S00192,test
S00193,dev
S00194,test
S00195,test
S00196,test
S00197,test
S00198,test
S00199,test
S00200,test
S00201,test
S00202,dev
S00203,test
S00204,dev
S00205,dev
S00206,dev
S00207,dev
S00208,dev
S00209,dev
S00210,test
S00211,test
S00212,dev
S00213,test
S00214,test
S00215,test
S00216,test
S00217,dev
S00218,test
S00219,dev
S00220,test
S00221,test
S00222,dev
S00223,test
S00224,dev
S00225,test
S00226,dev
S00227,dev
S00228,dev
S00229,test
S00230,dev
S00231,test
S00232,test
S00233,test
S00234,dev
S00235,test
S00236,test
S00237,dev
S00238,test
S00239,dev
S00240,test
S00241,dev
S00242,dev
S00243,dev
S00244,dev
S00245,dev
S00246,test
S00247,dev
S00248,dev
S00249,test
S00250,dev
S00251,test
S00252,dev
S00253,dev
S00254,test
S00255,test
S00256,test
S00257,test
S00258,dev
S00259,test
S00260,dev
S00261,dev
S00262,dev
S00263,test
S00264,dev
S00265,test
S00266,test
S00267,test
S00268,dev
S00269,test
S00270,test
S00271,dev
S00272,test
S00273,dev
S00274,dev
S00275,test
S00276,dev
S00277,test
S00278,dev
S00279,dev
S00280,test
S00281,dev
S00282,test
S00283,dev
S00284,test
S00285,dev
S00286,dev
S00287,test
S00288,test
S00289,dev
S00290,dev
S00291,test
S00292,dev
S00293,test
S00294,dev
S00295,test
S00296,test
S00297,dev
S00298,dev
S00299,test
S00300,dev
S00301,dev
S00302,test
S00303,dev
S00304,dev
S00305,dev
S00306,dev
S00307,dev
S00308,dev
S00309,test
S00310,test
S00311,test
S00312,dev
S00313,test
S00314,test
S00315,dev
S00316,dev
S00317,dev
S00318,test
S00319,test
S00320,dev
S00321,dev
S00322,test
S00323,test
S00324,test
S00325,dev
S00326,dev
S00327,dev
S00328,test
S00329,dev
S00330,test
S00331,dev
S00332,dev
