seller_id,signup_date,account_type,country,primary_category,kyc_verified,num_bank_accounts
S00001,2022-09-07,individual,US,cards_collectibles,True,2
S00002,2025-04-13,individual,US,fashion_vintage,True,1
S00003,2023-08-23,individual,US,fashion_vintage,True,1
S00004,2020-07-16,individual,US,cards_collectibles,True,1
S00005,2023-11-27,individual,US,sneakers_streetwear,True,1
S00006,2025-08-10,individual,US,fashion_vintage,True,1
S00007,2021-03-18,individual,US,fashion_vintage,True,1
S00008,2025-09-01,business,US,sneakers_streetwear,True,2
S00009,2022-09-04,individual,GB,electronics,True,1
S00010,2026-03-20,business,US,watches_jewelry_luxury,True,1
S00011,2020-04-27,individual,FR,electronics,True,1
S00012,2024-02-14,individual,US,fashion_vintage,True,1
S00013,2025-09-24,individual,US,sneakers_streetwear,True,1
S00014,2026-03-17,individual,US,cards_collectibles,True,2
S00015,2021-05-03,individual,US,fashion_vintage,True,1
S00016,2019-09-11,individual,US,fashion_vintage,False,1
S00017,2021-08-27,individual,US,cards_collectibles,True,1
S00018,2026-03-02,individual,US,watches_jewelry_luxury,True,1
S00019,2019-11-02,individual,US,electronics,True,1
S00020,2025-02-03,individual,CA,sneakers_streetwear,True,1
S00021,2022-05-24,individual,US,cards_collectibles,True,1
S00022,2024-04-12,individual,US,fashion_vintage,False,1
S00023,2026-02-27,individual,US,watches_jewelry_luxury,True,1
S00024,2023-12-09,individual,US,fashion_vintage,True,1
S00025,2022-11-18,individual,US,fashion_vintage,True,1
S00026,2026-05-23,individual,US,sneakers_streetwear,True,1
S00027,2023-01-31,individual,US,cards_collectibles,True,2
S00028,2024-08-09,individual,US,fashion_vintage,True,2
S00029,2022-10-04,individual,US,fashion_vintage,True,2
S00030,2025-04-07,individual,AU,sneakers_streetwear,True,1
S00031,2024-01-10,individual,US,sneakers_streetwear,True,1
S00032,2020-12-30,individual,US,watches_jewelry_luxury,True,1
S00033,2024-09-10,individual,US,fashion_vintage,True,1
S00034,2020-03-19,individual,US,fashion_vintage,True,2
S00035,2020-07-14,individual,CA,watches_jewelry_luxury,True,1
S00036,2022-10-06,individual,DE,electronics,False,2
S00037,2022-03-23,individual,US,fashion_vintage,True,1
S00038,2024-12-20,business,AU,watches_jewelry_luxury,True,1
S00039,2022-08-21,individual,US,fashion_vintage,False,1
S00040,2023-09-19,individual,US,sneakers_streetwear,True,1
S00041,2019-12-06,individual,US,cards_collectibles,True,1
S00042,2022-11-07,individual,US,watches_jewelry_luxury,True,1
S00043,2019-11-06,individual,US,fashion_vintage,True,1
S00044,2020-03-14,individual,AU,fashion_vintage,True,1
